procedure_a,procedure_b,cooccurrence_n,denominator_detailed_notes,percent
osteotomy,chevron,49,114,43.0%
osteotomy,akin,5,114,4.4%
osteotomy,scarf,<5,114,<5
osteotomy,fusion,7,114,6.1%
osteotomy,k_wire,96,114,84.2%
osteotomy,soft_tissue,104,114,91.2%
osteotomy,resection,80,114,70.2%
chevron,akin,<5,114,<5
chevron,scarf,0,114,0.0%
chevron,fusion,<5,114,<5
chevron,k_wire,46,114,40.4%
chevron,soft_tissue,47,114,41.2%
chevron,resection,29,114,25.4%
akin,scarf,<5,114,<5
akin,fusion,<5,114,<5
akin,k_wire,5,114,4.4%
akin,soft_tissue,5,114,4.4%
akin,resection,5,114,4.4%
scarf,fusion,0,114,0.0%
scarf,k_wire,<5,114,<5
scarf,soft_tissue,<5,114,<5
scarf,resection,<5,114,<5
fusion,k_wire,11,114,9.6%
fusion,soft_tissue,12,114,10.5%
fusion,resection,10,114,8.8%
k_wire,soft_tissue,101,114,88.6%
k_wire,resection,76,114,66.7%
soft_tissue,resection,87,114,76.3%
