disease,procedure_phenotype,n,denominator_detailed_notes,percent
hallux_valgus,osteotomy,106,114,93.0
hallux_valgus,chevron,49,114,43.0
hallux_valgus,akin,5,114,4.4
hallux_valgus,scarf,<5,114,<5
hallux_valgus,fusion,12,114,10.5
hallux_valgus,k_wire,103,114,90.4
hallux_valgus,soft_tissue,111,114,97.4
hallux_valgus,resection,87,114,76.3
first_cmc_oa,trapeziectomy,13,18,72.2
first_cmc_oa,tendon_procedure,16,18,88.9
first_cmc_oa,ligament_procedure,10,18,55.6
first_cmc_oa,arthroplasty,5,18,27.8
first_cmc_oa,fusion,<5,18,<5
scaphoid_fracture,internal_fixation,28,31,90.3
scaphoid_fracture,bone_graft,10,31,32.3
scaphoid_fracture,fusion,<5,31,<5
scaphoid_fracture,debridement,<5,31,<5
scaphoid_fracture,hardware_removal,<5,31,<5
