disease,procedure_phenotype,n,denominator_disease_concordant_notes,percent
hallux_valgus,osteotomy,106,113,93.8%
hallux_valgus,chevron,49,113,43.4%
hallux_valgus,akin,5,113,4.4%
hallux_valgus,scarf,<5,113,<5
hallux_valgus,fusion,12,113,10.6%
hallux_valgus,k_wire,103,113,91.2%
hallux_valgus,resection,86,113,76.1%
hallux_valgus,soft_tissue,111,113,98.2%
scaphoid_fracture,internal_fixation,26,28,92.9%
scaphoid_fracture,bone_graft,9,28,32.1%
scaphoid_fracture,reconstruction,<5,28,<5
scaphoid_fracture,fusion,<5,28,<5
scaphoid_fracture,hardware_removal,<5,28,<5
scaphoid_fracture,debridement,<5,28,<5
first_cmc_oa,trapeziectomy,13,18,72.2%
first_cmc_oa,tendon_procedure,16,18,88.9%
first_cmc_oa,ligament_procedure,10,18,55.6%
first_cmc_oa,arthroplasty,5,18,27.8%
first_cmc_oa,fusion,<5,18,<5
