variable,case_group,comparison_group,effect_measure,effect_estimate,ci95,p_value,analysis_population
age_years,"37.0 [26.8, 51.5]","37.5 [33.8, 44.8]",Mann-Whitney U,,,0.924,2023-2025; n=18 vs 14
bmi_kg_m2,"24.5 [23.1, 26.3]","25.1 [22.5, 28.7]",Mann-Whitney U,,,0.802,2023-2025; n=18 vs 14
female,<5,<5,odds ratio,suppressed,suppressed,suppressed,2023-2025 all; n=18 vs 14
detailed_operating_note,18 (100.0%),13 (92.9%),odds ratio,suppressed,suppressed,suppressed,2023-2025 all; n=18 vs 14
imaging_exam_record,18 (100.0%),13 (92.9%),odds ratio,suppressed,suppressed,suppressed,2023-2025 all; n=18 vs 14
procedure_internal_fixation,16 (88.9%),12 (92.3%),odds ratio,suppressed,suppressed,suppressed,2023-2025 detailed_note; n=18 vs 13
procedure_bone_graft,9 (50.0%),<5,odds ratio,suppressed,suppressed,suppressed,2023-2025 detailed_note; n=18 vs 13
procedure_reconstruction,0 (0.0%),<5,odds ratio,suppressed,suppressed,suppressed,2023-2025 detailed_note; n=18 vs 13
procedure_fusion,<5,0 (0.0%),odds ratio,suppressed,suppressed,suppressed,2023-2025 detailed_note; n=18 vs 13
procedure_complex_reconstruction_marker,10 (55.6%),<5,odds ratio,suppressed,suppressed,suppressed,2023-2025 detailed_note; n=18 vs 13
