phenotype_group,procedure_phenotype,n,denominator_detailed_notes,percent
established_chronic_or_nonunion,internal_fixation,16,18,88.9%
established_chronic_or_nonunion,bone_graft,9,18,50.0%
established_chronic_or_nonunion,reconstruction,0,18,0.0%
established_chronic_or_nonunion,fusion,<5,18,<5
established_chronic_or_nonunion,complex_reconstruction_marker,10,18,55.6%
other_wrist_scaphoid,internal_fixation,15,16,93.8%
other_wrist_scaphoid,bone_graft,<5,16,<5
other_wrist_scaphoid,reconstruction,<5,16,<5
other_wrist_scaphoid,fusion,0,16,0.0%
other_wrist_scaphoid,complex_reconstruction_marker,<5,16,<5
