disease,module,source_file,data_rows,unique_admission_keys,rows_per_admission
hallux_valgus,complaint_exam,2015-2025拇外翻患者主诉和专科查体.xlsx,210,153,1.37
hallux_valgus,demographics_diagnoses,2015-2025拇外翻患者基本信息和诊断信息.xlsx,1855,171,10.85
hallux_valgus,surgery_name_only,2015-2025拇外翻患者能无法查询手术内容的患者.xlsx,41,41,1.00
hallux_valgus,detailed_operating_note,2015-2025拇外翻患者能查到手术内容的患者.xlsx,171,117,1.46
first_cmc_oa,complaint_exam,2015-2025腕掌关节炎患者主诉和专科查体.xlsx,88,67,1.31
first_cmc_oa,demographics_diagnoses,2015-2025腕掌关节炎患者基本信息和诊断信息.xlsx,868,70,12.40
first_cmc_oa,surgery_name_only,2015-2025腕掌关节炎患者无法查询手术内容.xlsx,11,11,1.00
first_cmc_oa,detailed_operating_note,2015-2025腕掌关节炎患者能查到手术内容的患者.xlsx,77,56,1.38
scaphoid_fracture,complaint_exam,2015-2025舟骨骨折患者主诉和专科查体.xlsx,85,72,1.18
scaphoid_fracture,demographics_diagnoses,2015-2025舟骨骨折患者基本信息和诊断信息.xlsx,831,62,13.40
scaphoid_fracture,surgery_name_only,2015-2025舟骨骨折患者无法查询手术内容.xlsx,15,15,1.00
scaphoid_fracture,detailed_operating_note,2015-2025舟骨骨折患者能查到手术内容的患者.xlsx,64,42,1.52
hallux_valgus,imaging_exam,拇外翻检查.xls,767,168,4.57
hallux_valgus,laboratory,拇外翻检验.xls,19542,170,114.95
first_cmc_oa,imaging_exam,腕掌关节炎检查.xls,219,70,3.13
first_cmc_oa,laboratory,腕掌关节炎检验.xls,8926,70,127.51
scaphoid_fracture,imaging_exam,舟骨骨折检查.xls,185,56,3.30
scaphoid_fracture,laboratory,舟骨骨折检验.xls,7038,53,132.79
