disease,year,strict_admissions
hallux_valgus,2015,7
hallux_valgus,2016,17
hallux_valgus,2017,11
hallux_valgus,2018,10
hallux_valgus,2019,6
hallux_valgus,2020,<5
hallux_valgus,2021,7
hallux_valgus,2022,8
hallux_valgus,2023,32
hallux_valgus,2024,50
hallux_valgus,2025,43
first_cmc_oa,2015,<5
first_cmc_oa,2016,0
first_cmc_oa,2017,<5
first_cmc_oa,2018,<5
first_cmc_oa,2019,<5
first_cmc_oa,2020,0
first_cmc_oa,2021,<5
first_cmc_oa,2022,0
first_cmc_oa,2023,5
first_cmc_oa,2024,6
first_cmc_oa,2025,7
scaphoid_fracture,2015,<5
scaphoid_fracture,2016,5
scaphoid_fracture,2017,5
scaphoid_fracture,2018,<5
scaphoid_fracture,2019,6
scaphoid_fracture,2020,5
scaphoid_fracture,2021,7
scaphoid_fracture,2022,<5
scaphoid_fracture,2023,7
scaphoid_fracture,2024,6
scaphoid_fracture,2025,19
